"","Sample.Name","Lipid.Extracted.","Spp","Scientific.Name","Tow","Replicate","Plate","Well","Mass"
"1","FS10LE",TRUE,"Grey Gurnard","Eutrigla gurnardus",19,"A?","2X","C1",0.796
"2","FS11LE",TRUE,"Grey Gurnard","Eutrigla gurnardus",19,"B?","2X","C2",0.772
"3","FS12LE",TRUE,"Common Dab","Limanda limanda",41,"B","2X","B3",0.827
"4","FS13LE",TRUE,"Long Rough Dab","Hippoglossoides platessoides",33,"A","2X","B1",0.816
"5","FS14LE",TRUE,"Long Rough Dab","Hippoglossoides platessoides",33,"C","2X","C4",0.76
"6","FS15LE",TRUE,"Squid","Decapodiformes",41,"A","2X","C3",0.797
"7","FS16LE",TRUE,"Squid","Decapodiformes",41,"B","2X","A12",0.769
"8","FS17LE",TRUE,"Plaice","Pleuronectes platessa",19,"B","2X","D5",0.752
"9","FS18LE",TRUE,"Plaice","Pleuronectes platessa",19,"C","2X","D6",0.841
"10","FS19LE",TRUE,"Plaice","Pleuronectes platessa",43,"B","2X","D7",0.793
"11","FS1LE",TRUE,"Common Dab","Limanda limanda",41,"C","2X","B10",0.835
"12","FS20LE",TRUE,"Lemon Sole","Microstomus kitt",19,"C","2X","D11",0.769
"13","FS21LE",TRUE,"Norway Pout","Trisopterus esmarkii",33,"C","2X","D12",0.846
"14","FS22LE",TRUE,"Red Gurnard","Chelidonichthys cuculus",19,"B","2X","E1",0.757
"15","FS23LE",TRUE,"Bluemouth","Helicolenus dactylopterus",33,"A","2X","E2",0.767
"16","FS24LE",TRUE,"Bluemouth","Helicolenus dactylopterus",33,"C","2X","E3",0.827
"17","FS25LE",TRUE,"Blue Whiting","Micromesistius poutassou",33,"C","2X","E4",0.791
"18","FS26LE",TRUE,"Bluemouth","Helicolenus dactylopterus",33,"B","2X","E5",0.752
"19","FS27LE",TRUE,"Plaice","Pleuronectes platessa",19,"A","2X","E6",0.831
"20","FS28LE",TRUE,"Red Gurnard","Chelidonichthys cuculus",19,"A","2X","E7",0.773
"21","FS29LE",TRUE,"Blue Whiting","Micromesistius poutassou",33,"B","2X","E8",0.812
